COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,181,80,83,27,61,93,96,69,44,42,33,46,60,51,31,42,65,49,32,20,37,33,31
Q002,23,70,16,10,9,9,7,9,21,10,12,7,5,8,3,5,6,6,4,2,6,16,7
Q003,31,16,127,15,36,18,16,2,10,21,25,18,26,12,6,9,8,8,5,4,5,3,12
Q004,4,1,21,70,27,8,1,5,4,3,14,11,31,9,1,5,3,2,3,0,3,0,3
Q005,13,9,18,37,118,34,18,5,5,4,10,13,29,19,7,7,7,4,3,1,5,3,8
Q006,26,5,12,9,38,177,20,9,10,4,11,18,31,45,17,29,36,11,7,5,10,3,5
Q007,22,12,10,10,7,31,102,26,8,6,7,8,7,10,8,15,27,55,23,9,9,3,2
Q008,21,8,6,4,11,17,33,95,8,6,2,4,9,3,7,6,15,13,6,14,26,8,6
Q009,17,30,13,10,12,24,10,7,118,26,13,25,13,9,5,8,7,5,8,6,6,5,33
Q010,8,6,11,5,4,11,4,2,20,104,17,27,8,6,3,7,10,1,0,1,4,3,55
Q011,7,3,23,24,11,4,3,4,4,18,93,61,8,5,0,3,7,4,2,1,0,1,7
Q012,5,5,8,13,7,4,6,2,3,14,32,118,13,10,3,5,6,0,0,0,1,2,15
Q013,6,4,6,17,36,14,5,3,0,8,4,16,123,44,2,7,5,1,1,1,0,0,3
Q014,5,3,2,7,16,36,11,3,4,3,2,5,68,122,12,13,12,3,0,2,2,3,3
Q015,1,2,3,1,5,4,2,0,1,3,3,2,6,9,78,28,19,6,4,1,0,2,0
Q016,3,1,1,1,0,10,9,6,1,7,4,4,4,8,32,67,34,7,7,3,1,1,0
Q017,6,3,5,3,5,20,16,4,3,3,2,2,3,7,6,37,190,14,8,4,4,1,2
Q018,2,1,1,1,0,2,13,2,2,0,0,3,0,2,1,6,5,103,16,16,8,1,0
Q019,2,2,1,0,2,3,17,5,0,0,3,2,6,6,8,10,14,39,54,10,5,0,2
Q020,2,3,1,1,1,2,6,7,3,1,1,2,4,0,0,4,4,22,6,29,1,3,1
Q021,6,3,0,2,1,4,4,12,2,1,0,3,3,2,0,1,2,8,3,2,42,5,3
Q022,13,12,5,2,7,6,5,9,9,4,2,3,3,2,1,1,0,4,1,1,7,46,4
Q023,4,5,1,8,7,8,3,0,4,27,7,22,7,7,2,8,8,3,1,3,2,2,103
