COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,30,10,11,1,10,9,8,18,4,3,7,2,2,7,2,6,7,4,9,4,6,4,5
Q002,9,11,3,3,5,1,1,1,7,2,1,0,2,3,2,0,1,1,0,0,1,3,2
Q003,10,3,6,5,2,2,2,2,3,5,3,3,2,2,3,2,3,1,1,0,0,2,0
Q004,1,3,5,17,8,0,0,4,0,0,4,2,8,1,0,2,0,0,0,0,2,0,0
Q005,10,5,2,7,4,11,0,2,0,2,3,2,0,3,2,1,0,0,0,0,1,2,2
Q006,8,1,3,0,10,40,3,2,2,1,1,2,6,14,1,5,10,0,0,0,1,1,0
Q007,8,1,2,0,0,2,8,6,4,1,1,0,0,5,0,2,2,8,5,5,0,1,0
Q008,20,1,2,4,2,1,7,11,0,0,0,2,2,1,2,2,3,1,1,3,5,2,0
Q009,7,6,2,0,0,2,5,0,12,5,0,6,1,1,1,0,0,0,0,1,0,0,1
Q010,4,2,5,0,2,1,0,0,6,26,6,8,0,0,0,2,1,0,0,0,1,0,8
Q011,8,1,2,4,2,1,1,0,1,6,10,4,0,0,0,0,0,0,0,0,0,1,2
Q012,1,0,3,2,2,2,0,1,5,8,5,16,4,2,0,1,0,0,1,0,0,0,7
Q013,3,2,2,8,0,6,0,2,1,0,0,4,16,9,1,0,2,0,0,0,0,0,1
Q014,5,3,2,1,3,14,4,2,0,0,0,2,9,15,6,0,3,0,0,0,0,0,0
Q015,3,2,2,0,2,1,0,2,2,1,0,0,1,6,4,6,2,1,0,0,0,1,0
Q016,5,0,2,2,2,5,1,2,0,2,0,1,0,0,6,15,9,1,1,1,0,0,0
Q017,8,1,3,0,0,9,2,3,0,1,0,0,2,3,2,8,12,3,3,0,0,0,0
Q018,4,1,1,0,0,0,7,2,0,0,0,0,0,0,1,1,3,13,6,5,2,1,1
Q019,9,0,1,0,0,1,4,1,0,0,0,1,0,0,0,1,3,6,9,3,0,0,0
Q020,4,0,0,0,0,0,5,3,1,0,0,0,0,0,0,1,0,5,3,0,0,0,1
Q021,5,1,0,3,0,1,0,5,0,1,0,0,1,0,0,0,0,2,0,0,5,3,0
Q022,4,3,2,0,2,1,1,2,0,0,1,0,0,0,1,0,0,1,0,0,3,11,0
Q023,5,2,0,0,2,0,0,1,2,9,2,5,1,0,0,0,0,1,0,1,0,0,18
