COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,54,9,12,1,6,9,5,10,11,2,1,2,4,4,1,3,1,1,2,0,3,5,5
Q002,25,9,7,1,3,2,6,2,10,1,1,3,3,1,1,0,0,0,1,2,1,4,6
Q003,31,6,26,5,8,6,5,4,5,6,4,1,1,0,1,0,3,0,1,0,0,0,0
Q004,19,6,4,4,4,5,5,0,7,1,4,7,3,3,1,0,3,1,1,0,0,1,4
Q005,20,2,13,1,16,9,2,4,4,0,2,5,8,6,5,0,5,0,2,0,0,2,7
Q006,33,5,5,3,7,22,9,5,13,6,1,3,1,6,1,7,11,2,2,1,1,2,6
Q007,28,3,8,1,6,7,13,5,2,1,2,8,4,6,1,4,6,3,5,3,0,4,2
Q008,24,2,0,3,2,2,7,10,3,0,2,1,1,0,0,3,3,3,3,4,0,6,0
Q009,20,5,3,3,5,1,4,3,24,5,1,1,0,4,1,0,2,2,0,0,1,0,3
Q010,20,1,5,1,2,3,4,6,5,13,3,4,5,1,1,4,4,0,0,2,0,0,9
Q011,8,4,7,2,7,3,6,1,4,6,6,5,2,2,3,4,1,0,2,0,0,0,5
Q012,22,2,4,3,6,12,3,0,12,5,4,13,8,3,1,1,1,1,3,0,1,1,15
Q013,28,0,13,5,7,6,3,3,8,2,4,6,21,10,3,4,1,0,4,3,1,1,5
Q014,19,2,5,4,4,20,3,1,3,3,2,4,9,19,0,4,3,0,3,0,0,0,4
Q015,10,0,2,0,3,4,2,4,5,2,0,2,0,2,5,3,1,0,6,0,1,0,2
Q016,16,1,4,2,8,8,7,5,6,3,1,3,2,2,5,9,11,3,11,3,0,1,7
Q017,16,1,0,2,1,8,8,2,3,3,4,2,2,10,9,6,25,1,5,1,1,0,4
Q018,23,3,3,1,2,5,14,4,3,1,2,0,1,2,3,5,6,20,13,7,1,2,4
Q019,10,2,3,2,0,3,7,2,1,0,2,0,0,0,2,1,4,5,9,1,0,1,1
Q020,8,0,3,0,0,3,1,2,1,0,0,0,0,0,1,1,3,1,1,8,0,0,2
Q021,9,2,3,0,3,4,4,4,5,3,0,1,1,0,0,0,2,2,2,0,6,2,1
Q022,8,6,0,0,0,4,0,2,4,2,0,1,0,2,1,0,0,0,0,2,0,5,1
Q023,14,3,5,0,4,1,2,3,10,10,1,5,0,0,0,0,2,0,1,0,2,2,12
