COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,93,3,14,1,8,10,17,5,2,4,1,4,3,2,0,0,3,2,0,1,1,4,0
Q002,23,31,5,0,2,2,1,2,12,2,1,1,1,1,0,2,1,0,0,0,0,1,1
Q003,20,2,79,11,7,1,4,1,2,3,10,3,3,4,0,2,0,0,0,0,0,0,1
Q004,4,0,1,26,29,1,1,1,0,2,9,1,8,0,0,0,0,0,0,1,0,0,1
Q005,21,1,6,8,64,11,1,4,5,0,4,0,21,4,0,0,1,0,1,0,0,1,1
Q006,34,2,5,1,11,82,15,3,2,0,3,0,2,19,1,2,4,0,2,1,2,3,1
Q007,40,0,1,0,6,7,60,11,1,2,0,0,0,2,0,1,5,3,10,2,0,0,0
Q008,22,3,1,1,1,1,13,42,2,2,1,0,1,1,0,0,0,1,2,0,5,1,0
Q009,17,4,1,1,2,4,3,2,55,11,0,0,0,0,1,0,1,0,1,1,0,4,3
Q010,10,1,5,0,0,3,1,0,9,57,9,8,3,0,0,1,1,0,1,1,0,2,5
Q011,12,0,4,4,1,1,1,0,3,6,57,15,2,0,0,0,0,0,0,1,0,1,1
Q012,10,1,5,1,5,3,1,0,1,9,33,56,2,2,0,0,0,0,0,0,2,1,4
Q013,14,0,3,7,17,9,1,1,2,1,3,1,59,38,0,0,0,0,1,0,0,1,1
Q014,15,0,3,1,6,8,0,0,2,0,1,2,18,62,5,4,0,1,0,1,0,1,1
Q015,8,0,0,1,1,4,2,0,2,0,0,1,1,2,47,5,2,0,2,1,1,0,0
Q016,10,1,0,1,0,9,1,0,2,0,0,1,2,4,13,28,9,2,1,1,0,0,2
Q017,22,1,0,0,4,10,9,4,1,3,0,1,1,0,9,10,81,1,5,2,0,0,3
Q018,11,2,1,1,2,5,25,2,0,1,0,0,0,0,2,3,3,38,17,2,1,0,0
Q019,8,2,1,0,2,2,7,1,1,0,0,0,0,0,1,2,0,8,25,3,1,0,0
Q020,7,0,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,7,6,14,0,0,0
Q021,14,0,2,0,2,3,2,9,0,0,0,0,0,2,1,0,0,0,2,1,17,2,1
Q022,17,1,3,0,1,0,2,1,1,1,2,1,1,0,0,1,1,0,0,0,0,16,0
Q023,7,1,1,3,2,2,0,0,13,27,3,2,1,3,0,0,0,0,0,0,0,1,40
