,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,1514,410,924,168,463,350,307,323,210,175,100,126,85,100,43,75,67,52,20,115,294,27,91
Q002,457,76,175,35,80,28,61,82,59,53,32,34,19,10,1,6,4,6,3,22,66,9,38
Q003,1119,261,290,116,314,120,104,67,171,102,65,53,66,54,14,10,11,6,6,16,65,6,47
Q004,334,90,237,61,234,107,56,19,61,32,61,40,73,41,5,13,22,9,9,1,6,1,37
Q005,782,129,263,193,309,217,157,107,59,64,56,49,88,74,36,33,33,22,10,19,49,11,66
Q006,555,43,182,62,269,231,128,84,26,31,19,34,101,72,49,59,51,45,18,22,13,10,21
Q007,423,58,89,37,128,154,170,168,26,19,23,17,16,34,11,36,43,58,14,37,21,61,13
Q008,424,61,75,18,79,126,125,105,34,9,9,7,4,12,10,24,19,35,3,43,47,34,12
Q009,238,75,119,26,40,13,29,24,91,93,25,29,19,5,4,1,9,1,5,10,30,2,112
Q010,301,117,156,29,66,40,11,18,89,116,35,27,22,20,1,17,4,1,1,2,13,0,79
Q011,253,37,94,46,111,15,19,11,38,44,20,29,32,18,3,3,17,3,2,4,8,0,37
Q012,156,20,83,55,93,23,23,11,30,45,48,46,28,15,4,1,12,4,2,2,6,0,62
Q013,229,36,85,48,157,75,42,11,26,29,46,29,108,110,12,57,14,21,6,2,6,2,15
Q014,226,26,87,66,98,74,57,31,15,30,16,17,117,166,11,46,29,10,6,2,8,0,12
Q015,54,34,12,3,47,25,16,4,3,5,7,11,11,42,18,22,27,3,15,4,1,0,1
Q016,104,10,17,13,58,82,64,20,4,5,4,11,14,34,23,29,33,12,7,1,0,8,4
Q017,146,23,9,18,45,69,45,42,5,5,8,6,11,39,41,61,50,17,12,3,2,15,2
Q018,78,7,9,2,30,36,51,42,5,2,5,2,5,11,4,8,28,14,17,4,6,10,7
Q019,37,7,9,9,13,12,23,33,2,1,0,1,1,7,5,7,25,15,2,2,3,6,0
Q020,278,34,29,9,62,35,85,66,17,5,1,4,1,1,7,3,8,8,1,45,30,4,4
Q021,332,55,61,3,33,9,31,50,31,23,2,6,3,2,0,1,1,4,3,27,37,3,1
Q022,62,8,14,1,11,18,34,35,3,0,1,1,4,0,2,2,9,10,8,8,6,1,0
Q023,120,36,31,26,23,13,6,19,47,75,20,36,23,10,5,2,4,0,0,1,4,0,111
