COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,219,56,64,17,44,64,71,50,36,32,14,31,44,40,22,30,39,28,17,15,23,24,28
Q002,55,61,20,7,10,6,14,13,35,7,9,10,5,7,2,4,7,5,5,5,4,21,8
Q003,58,21,96,13,28,19,18,3,17,15,21,11,20,5,3,7,8,5,6,5,0,1,11
Q004,21,7,14,50,33,14,5,3,10,4,20,13,16,9,3,3,5,3,1,0,3,0,6
Q005,40,11,26,35,91,31,18,8,9,4,13,14,38,21,3,6,10,3,2,0,3,7,8
Q006,71,9,20,13,31,166,27,19,20,9,6,14,17,33,18,20,30,7,5,5,5,6,8
Q007,65,13,17,7,15,32,96,25,10,5,9,12,9,11,5,17,27,34,20,7,7,6,3
Q008,51,10,3,4,8,18,26,85,7,10,4,2,5,3,6,11,8,11,5,15,20,12,6
Q009,46,33,15,9,12,17,12,8,99,24,8,12,9,6,3,7,6,5,2,4,2,8,16
Q010,31,9,15,3,4,10,6,7,27,59,16,17,12,7,3,9,12,1,1,3,4,2,38
Q011,15,9,20,22,12,6,9,4,8,13,71,32,7,5,3,5,8,2,0,1,0,1,7
Q012,29,7,10,12,14,15,10,2,14,20,32,76,13,6,3,5,7,1,3,0,3,4,19
Q013,40,5,18,19,40,17,8,8,7,12,7,14,115,50,6,11,3,1,5,2,1,3,6
Q014,37,6,6,8,19,35,12,4,8,7,5,7,47,84,7,10,12,3,4,3,1,4,2
Q015,20,1,4,2,3,14,4,5,6,4,4,4,5,6,52,28,14,3,7,1,1,1,0
Q016,32,4,7,4,7,21,15,11,10,7,5,5,8,11,25,55,41,11,12,5,2,0,8
Q017,42,8,8,4,10,29,27,8,5,11,7,3,4,15,13,38,184,13,12,5,5,0,8
Q018,28,6,5,3,3,10,34,10,4,2,2,2,1,3,3,12,11,101,34,19,10,3,4
Q019,18,5,6,1,1,5,18,5,1,0,0,2,5,4,7,11,11,36,66,10,2,0,4
Q020,15,5,5,0,0,5,6,15,4,2,1,0,2,0,1,5,5,18,9,36,0,2,3
Q021,21,3,0,2,5,4,7,19,2,4,0,3,3,2,1,3,4,9,3,0,30,8,5
Q022,27,22,1,0,5,8,5,12,9,2,1,3,3,4,1,0,1,2,0,2,7,41,7
Q023,30,6,9,8,9,9,3,6,17,39,8,16,7,2,0,8,8,3,3,3,4,7,95
