,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,312,151,269,115,187,176,150,114,63,82,67,43,71,57,25,37,35,19,6,70,98,6,22
Q002,136,53,89,28,46,39,39,42,49,35,9,17,7,16,7,1,2,4,1,11,35,3,5
Q003,241,89,103,48,93,37,44,30,34,48,35,18,38,22,5,3,7,8,2,10,22,6,11
Q004,83,32,53,32,64,21,21,14,18,20,26,18,38,30,7,4,3,3,0,2,5,1,5
Q005,178,59,76,55,87,95,67,41,14,19,29,20,61,47,15,20,18,11,2,11,19,6,7
Q006,157,36,39,30,72,100,95,63,13,11,12,16,24,44,25,35,16,16,9,13,10,4,0
Q007,125,40,32,15,48,84,74,78,6,11,7,6,22,22,13,18,37,24,6,15,16,14,3
Q008,119,53,29,11,19,47,67,40,15,10,4,6,11,15,7,9,23,9,7,37,22,0,5
Q009,55,40,49,20,16,14,15,9,30,42,8,15,8,10,2,0,4,2,0,4,21,1,19
Q010,63,44,68,16,23,5,9,8,43,46,10,19,9,5,3,2,1,1,0,1,9,0,31
Q011,57,17,34,21,15,21,6,12,8,11,7,17,10,6,5,2,3,0,3,0,7,0,4
Q012,43,18,17,25,19,12,12,4,18,23,17,24,14,12,5,4,3,2,3,1,10,0,14
Q013,62,14,34,30,44,25,18,13,8,8,15,15,68,51,0,10,9,2,1,1,5,0,2
Q014,52,15,20,26,36,56,25,17,6,4,9,10,34,37,11,13,14,3,1,0,2,3,1
Q015,20,10,10,4,22,18,12,6,3,4,7,3,16,13,7,11,12,3,5,2,2,0,3
Q016,21,5,2,2,13,16,18,15,0,1,2,3,9,16,12,7,22,1,1,2,2,2,0
Q017,16,5,9,9,22,19,23,11,3,1,7,3,8,10,13,13,21,10,5,7,1,1,1
Q018,9,8,4,2,8,20,24,19,9,1,2,2,4,2,4,2,14,6,1,4,4,5,0
Q019,6,2,4,2,4,7,14,9,1,0,0,1,2,3,1,3,7,4,0,0,1,0,2
Q020,50,6,5,5,1,13,10,21,5,2,1,3,4,0,2,1,3,2,0,11,10,0,1
Q021,83,34,18,3,15,5,12,17,10,8,4,7,2,8,1,0,2,0,1,18,14,2,4
Q022,7,0,2,0,2,8,13,6,0,0,1,1,1,4,0,3,3,7,1,0,1,2,0
Q023,16,7,10,5,11,5,2,4,13,19,2,7,6,5,2,0,4,1,0,1,3,0,22
