COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,101,23,28,7,14,30,27,14,11,9,12,11,18,7,0,4,12,7,3,1,10,14,7
Q002,23,42,4,0,2,3,1,5,7,5,2,1,1,1,0,1,1,1,0,0,2,2,1
Q003,30,5,110,9,11,4,5,2,5,9,16,8,2,1,1,0,1,2,0,0,1,2,3
Q004,8,0,9,41,18,1,3,0,2,3,6,4,12,2,1,0,0,1,0,1,0,0,2
Q005,13,1,11,19,81,18,2,5,4,1,3,1,12,8,3,0,1,1,1,0,2,2,1
Q006,29,3,4,1,16,97,13,5,5,0,3,3,13,24,5,6,7,0,3,0,6,1,4
Q007,25,1,4,3,2,13,70,16,4,1,0,2,3,2,1,4,7,11,7,2,4,0,1
Q008,16,5,2,0,5,3,15,54,3,0,2,2,0,1,0,0,3,1,3,1,10,3,0
Q009,11,6,7,2,4,6,4,3,89,11,2,7,2,5,1,2,4,1,4,3,0,3,6
Q010,7,4,9,3,1,1,1,0,12,75,9,9,3,1,0,2,2,0,0,1,0,3,18
Q011,12,2,15,7,3,3,0,2,2,9,68,35,1,1,0,0,1,0,0,1,0,0,3
Q012,10,2,8,4,1,3,2,3,6,7,36,107,6,2,1,2,1,2,0,0,1,1,5
Q013,15,1,2,11,14,11,3,0,3,3,1,6,73,35,0,1,1,0,0,1,0,1,3
Q014,9,1,1,2,9,24,2,1,6,1,1,2,31,101,4,4,0,0,1,0,2,0,4
Q015,0,0,1,1,3,5,1,0,1,0,0,1,0,4,55,10,7,1,1,0,0,0,0
Q016,4,1,0,0,0,6,4,0,2,3,0,1,2,3,9,32,14,1,2,0,1,0,0
Q017,11,1,1,0,1,7,8,3,3,1,1,1,0,1,7,15,103,2,3,1,0,0,1
Q018,7,1,2,1,1,0,11,0,1,0,0,2,0,0,1,1,2,60,9,10,2,1,0
Q019,3,0,1,0,1,3,6,3,4,0,0,0,0,2,1,1,3,9,27,1,1,0,0
Q020,1,0,0,1,0,0,2,1,3,1,0,0,1,0,0,0,1,10,1,6,1,0,0
Q021,10,2,1,0,2,6,4,10,0,0,0,1,0,2,0,1,0,2,1,1,28,2,1
Q022,15,2,2,0,1,0,0,2,3,3,0,1,2,1,0,0,0,1,0,0,2,25,0
Q023,6,0,4,2,1,3,1,0,6,21,3,5,3,4,0,0,1,0,0,0,1,0,68
