COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,14,1,4,0,0,1,1,6,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0
Q002,4,9,2,0,2,1,0,3,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Q003,7,1,4,0,1,1,0,1,3,5,0,1,0,0,1,0,0,0,0,0,0,1,0
Q004,0,3,3,2,1,0,0,2,0,1,0,2,2,1,0,0,0,0,0,0,1,0,0
Q005,2,4,5,2,4,7,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Q006,4,2,5,0,0,12,2,7,3,3,0,0,0,3,0,0,1,0,0,0,0,1,0
Q007,3,1,2,0,1,1,3,2,1,1,0,0,0,1,0,3,2,0,1,0,0,1,0
Q008,9,1,1,1,0,0,0,5,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0
Q009,3,4,1,0,0,1,3,0,5,3,0,0,0,0,0,1,0,0,0,1,0,0,0
Q010,1,3,6,0,0,0,0,0,3,5,2,0,1,0,0,1,0,0,0,0,1,0,0
Q011,5,4,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Q012,1,1,2,0,2,0,0,3,4,4,0,7,1,0,0,2,0,0,0,0,0,0,0
Q013,8,3,3,3,0,3,0,5,0,2,0,2,3,5,0,0,2,0,0,0,0,0,1
Q014,4,3,3,0,1,5,1,3,1,2,1,3,2,5,0,0,1,0,0,0,0,0,0
Q015,5,3,2,0,0,2,0,2,1,1,0,0,0,2,1,4,2,0,0,0,0,0,0
Q016,7,1,5,1,1,5,0,1,0,3,0,0,0,0,1,3,1,0,0,0,1,0,0
Q017,7,3,4,0,0,6,1,3,0,4,0,0,0,2,0,4,2,0,0,0,0,0,0
Q018,3,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,3,4,1,1,1
Q019,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0
Q020,2,2,0,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Q021,4,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0
Q022,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0
Q023,4,2,0,0,1,0,0,3,0,6,0,3,1,0,0,0,0,0,0,1,0,0,1
