COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,28,5,5,0,2,4,3,5,3,1,1,1,2,4,0,2,1,1,2,0,2,2,3
Q002,12,6,5,1,2,0,3,2,2,1,0,2,1,0,1,0,0,0,0,1,0,4,5
Q003,20,1,13,1,2,3,3,1,1,3,2,0,1,0,0,0,1,0,0,0,0,0,0
Q004,8,3,2,1,2,4,2,0,2,0,1,5,3,2,0,0,2,0,1,0,0,0,3
Q005,14,1,9,0,7,4,1,2,2,0,0,5,2,4,4,0,4,0,2,0,0,0,4
Q006,18,3,1,2,3,3,1,3,4,3,0,2,1,2,0,5,4,1,2,0,1,2,4
Q007,10,2,5,1,3,4,3,4,1,1,1,7,1,3,1,2,2,1,2,1,0,0,1
Q008,10,1,0,0,1,1,5,4,1,0,1,1,0,0,0,3,2,3,2,2,0,3,0
Q009,8,3,0,2,4,1,1,2,8,1,1,0,0,4,1,0,2,2,0,0,1,0,2
Q010,12,1,2,0,0,2,3,5,3,2,0,2,2,1,1,1,2,0,0,0,0,0,4
Q011,3,3,2,0,3,2,2,0,2,3,3,3,0,2,1,2,1,0,2,0,0,0,4
Q012,10,1,3,0,3,7,2,0,6,2,3,5,2,2,1,0,0,1,2,0,0,0,12
Q013,10,0,4,3,3,4,2,1,4,0,2,1,5,4,2,1,1,0,4,1,0,1,5
Q014,9,2,2,2,1,7,2,1,2,1,1,3,1,7,0,3,2,0,3,0,0,0,4
Q015,5,0,2,0,2,1,0,0,4,2,0,1,0,2,0,1,1,0,4,0,1,0,1
Q016,9,1,1,1,2,4,2,2,4,3,1,2,1,1,2,3,3,2,4,2,0,0,6
Q017,8,1,0,1,1,5,3,0,1,2,4,2,2,8,4,3,9,1,3,1,1,0,4
Q018,11,1,3,1,2,2,9,2,0,1,0,0,1,2,2,1,4,10,8,4,0,0,4
Q019,6,2,3,2,0,1,1,2,1,0,0,0,0,0,1,0,2,3,4,0,0,1,1
Q020,3,0,2,0,0,3,0,0,1,0,0,0,0,0,1,1,2,0,1,3,0,0,2
Q021,3,2,2,0,2,2,4,1,3,2,0,1,1,0,0,0,1,0,1,0,3,0,0
Q022,5,3,0,0,0,4,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,1,1
Q023,4,0,1,0,1,0,2,2,3,5,1,4,0,0,0,0,1,0,1,0,2,0,6
