COD_ZONA_PAR,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
Q001,26,4,7,1,4,5,2,5,8,1,0,1,2,0,1,1,0,0,0,0,1,3,2
Q002,13,3,2,0,1,2,3,0,8,0,1,1,2,1,0,0,0,0,1,1,1,0,1
Q003,11,5,13,4,6,3,2,3,4,3,2,1,0,0,1,0,2,0,1,0,0,0,0
Q004,11,3,2,3,2,1,3,0,5,1,3,2,0,1,1,0,1,1,0,0,0,1,1
Q005,6,1,4,1,9,5,1,2,2,0,2,0,6,2,1,0,1,0,0,0,0,2,3
Q006,15,2,4,1,4,19,8,2,9,3,1,1,0,4,1,2,7,1,0,1,0,0,2
Q007,18,1,3,0,3,3,10,1,1,0,1,1,3,3,0,2,4,2,3,2,0,4,1
Q008,14,1,0,3,1,1,2,6,2,0,1,0,1,0,0,0,1,0,1,2,0,3,0
Q009,12,2,3,1,1,0,3,1,16,4,0,1,0,0,0,0,0,0,0,0,0,0,1
Q010,8,0,3,1,2,1,1,1,2,11,3,2,3,0,0,3,2,0,0,2,0,0,5
Q011,5,1,5,2,4,1,4,1,2,3,3,2,2,0,2,2,0,0,0,0,0,0,1
Q012,12,1,1,3,3,5,1,0,6,3,1,8,6,1,0,1,1,0,1,0,1,1,3
Q013,18,0,9,2,4,2,1,2,4,2,2,5,16,6,1,3,0,0,0,2,1,0,0
Q014,10,0,3,2,3,13,1,0,1,2,1,1,8,12,0,1,1,0,0,0,0,0,0
Q015,5,0,0,0,1,3,2,4,1,0,0,1,0,0,5,2,0,0,2,0,0,0,1
Q016,7,0,3,1,6,4,5,3,2,0,0,1,1,1,3,6,8,1,7,1,0,1,1
Q017,8,0,0,1,0,3,5,2,2,1,0,0,0,2,5,3,16,0,2,0,0,0,0
Q018,12,2,0,0,0,3,5,2,3,0,2,0,0,0,1,4,2,10,5,3,1,2,0
Q019,4,0,0,0,0,2,6,0,0,0,2,0,0,0,1,1,2,2,5,1,0,0,0
Q020,5,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0
Q021,6,0,1,0,1,2,0,3,2,1,0,0,0,0,0,0,1,2,1,0,3,2,1
Q022,3,3,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,2,0,4,0
Q023,10,3,4,0,3,1,0,1,7,5,0,1,0,0,0,0,1,0,0,0,0,2,6
